title_index,user_index,rating
143,9261,5
143,732,1
143,5382,5
143,5320,5
143,8620,5
143,2837,5
143,10572,5
143,4323,5
143,8941,5
143,920,5
143,5716,5
143,4091,5
143,10505,5
143,5104,5
143,9632,5
143,5365,5
143,378,5
143,586,5
143,9845,5
143,6119,5
143,5317,5
274,3678,5
274,5630,5
274,2658,5
274,7130,5
274,7122,5
274,6217,5
274,3737,5
274,1064,5
274,2726,5
274,5336,5
274,5703,5
274,7413,5
274,4296,5
274,10045,5
274,6548,5
274,8258,5
274,9474,5
274,6410,5
274,9428,5
274,10141,5
274,5727,5
274,8691,5
274,3590,5
274,7916,4
274,8924,4
517,7201,2
517,6702,5
517,1327,3
517,8153,5
517,8366,5
517,587,3
517,3237,5
517,8256,5
517,3409,5
517,7874,5
517,4126,5
517,5912,5
517,7827,5
517,8466,5
517,5209,5
517,5866,5
517,6668,4
517,5680,4
517,8342,4
517,1087,4
517,1473,2
70,3924,5
70,303,5
70,6548,5
70,2060,5
70,4272,5
70,6364,5
70,8181,4
70,1820,2
70,9074,2
70,2024,2
70,4198,5
70,2709,5
70,6360,5
70,10257,5
70,5684,5
70,4060,5
70,5988,5
70,6399,5
70,9169,5
70,8295,5
70,9896,5
70,1420,5
70,2828,5
70,9899,5
70,1608,5
191,2430,3
191,5281,3
191,7255,5
191,9222,5
191,4974,5
191,8701,5
191,10242,5
191,6692,5
191,4511,5
191,1150,1
191,8580,5
191,1669,5
191,4617,5
191,6263,5
191,7940,5
191,6619,5
191,9158,5
191,8266,5
191,5056,5
191,4047,5
191,4808,5
191,2512,5
191,517,5
191,8268,5
191,1899,5
593,5017,5
593,9210,5
593,2603,5
593,6679,5
593,4514,5
593,7368,5
593,1983,5
593,9753,5
593,6659,5
593,8935,5
593,1255,5
593,2460,5
593,6211,5
593,4562,5
593,1570,5
593,871,5
593,9850,5
593,2085,5
593,4419,5
593,6433,5
593,2403,5
593,5251,5
593,1085,5
593,5010,5
593,7695,5
321,8070,1
321,954,1
321,2411,5
321,2484,5
321,7362,5
321,3238,5
321,1447,5
321,6710,5
321,62,5
321,5709,5
321,714,4
321,2183,4
321,5142,4
321,7089,4
261,2108,1
261,2656,5
261,6594,5
261,8527,5
261,6372,5
261,5530,5
261,7921,5
261,1638,5
261,4093,5
261,1647,5
261,4964,5
261,8680,5
261,3057,5
261,8682,5
261,9132,5
261,7457,5
261,9612,5
261,5183,5
261,8351,5
261,7693,5
261,7145,5
261,2950,5
261,5118,5
261,9488,5
261,10110,5
718,3460,2
718,6300,3
718,10002,1
718,9838,3
718,8531,2
718,9103,3
718,3771,1
718,2851,5
718,8354,5
718,1412,3
718,4894,5
718,3834,1
718,5753,5
718,6098,3
718,393,1
718,1929,5
718,5590,5
718,2132,5
718,1816,5
718,9188,2
718,41,2
718,2224,2
718,793,5
718,3305,5
718,9055,5
322,7639,5
