title_index,level,organization,organization_link,rating,rating_count,course_type,skills,instructors,links
339,Advanced level,University of Illinois Urbana-Champaign,https://www.coursera.org/partners/illinois,4.7,240,course,"['Financial Statements', 'Business Valuation', 'Business', 'International Financial Reporting Standards', 'Consolidation', 'Financial Accounting', 'Financial Reporting', 'Intercompany Accounting', 'Mergers & Acquisitions', 'Technical Accounting', 'Generally Accepted Accounting Principles (GAAP)']","['Michael Kustanovich', 'CPA']",['https://www.coursera.org/instructor/michael-kustanovich']
342,,Universiteit Leiden,https://www.coursera.org/partners/leiden,4.3,48,course,"['Health Disparities', 'Risk Analysis', 'Value-Based Care', 'Health Policy', 'Health Care', 'Social Determinants Of Health', 'Public Health', 'Community Health', 'Health Promotion', 'Health Systems', 'Continuous Quality Improvement (CQI)', 'Epidemiology']","['Roos van der Vaart', 'Marc Bruijnzeels']","['https://www.coursera.org/instructor/rvandervaart', 'https://www.coursera.org/instructor/~24637802']"
673,Intermediate level,Rice University,https://www.coursera.org/partners/rice,4.7,333,course,"['Language Competency', 'Patient-centered Care', 'Patient Communication', 'Diagnostic Tests', 'Vocabulary', 'Grammar', 'Patient Education And Counseling', 'Spanish Language', 'Cultural Diversity', 'Medical Terminology']",['Maria Victoria Abad Rabat'],['https://www.coursera.org/instructor/~30368993']
437,,University of Illinois Urbana-Champaign,https://www.coursera.org/partners/illinois,4.5,1401,course,"['Data Presentation', 'Plot (Graphics)', 'Interactive Data Visualization', 'Data Visualization', 'Dashboard', 'Tableau Software', 'Graphing', 'Scatter Plots', 'Data Visualization Software', 'Data Storytelling', 'Data Mapping']",['John C. Hart'],['https://www.coursera.org/instructor/john-hart']
489,Beginner level,University at Buffalo,https://www.coursera.org/partners/ubuffalo,4.6,125,course,"['Data Literacy', 'Operational Efficiency', 'Product Quality (QA/QC)', 'Root Cause Analysis', 'Quality Management Systems', 'Analytics', 'Data Quality', 'Six Sigma Methodology', 'Case Studies', 'Process Improvement', 'Data Analysis', 'Data Security', 'Lean Methodologies', 'Data Ethics', 'Internet Of Things', 'Data-Driven Decision-Making', 'Operational Excellence']","['Akshay Sivadas', ""Brittany O'Dea""]","['https://www.coursera.org/instructor/~20145078', 'https://www.coursera.org/instructor/~70864535', 'https://www.coursera.org/instructor/~20145078', 'https://www.coursera.org/instructor/~70864535']"
285,Beginner level,Google,https://www.coursera.org/partners/google,4.6,2155,course,"['Web Analytics and SEO', 'Marketing Analytics', 'Data Visualization', 'Data Analysis', 'A/B Testing', 'Spreadsheet Software', 'Return On Investment', 'Data Presentation', 'Performance Measurement', 'Google Ads', 'Digital Marketing', 'Google Analytics', 'Pivot Tables And Charts', 'Marketing', 'Key Performance Indicators (KPIs)', 'Marketing Budgets', 'Media Planning', 'Stakeholder Communications']",,
143,Beginner level,Google,https://www.coursera.org/partners/google,4.8,2135,course,"['Prompt Engineering', 'Multimodal Prompts', 'Responsible AI', 'Prompt Patterns']",['Google Career Certificates'],['https://www.coursera.org/instructor/google-career-certificates']
274,Beginner level,Coursera Instructor Network,https://www.coursera.org/partners/coursera-instructor-network,4.4,148,course,"['Self Service Technologies', 'Communication', 'Automation', 'Personal Development', 'Generative AI', 'Artificial Intelligence', 'Productivity', 'Email Automation', 'ChatGPT', 'Calendar Management', 'Business Process Automation', 'Natural Language Processing', 'Prompt Engineering', 'Time Management']","['Arkadi Avanesyan', 'Starweaver']","['https://www.coursera.org/instructor/~139312072', 'https://www.coursera.org/instructor/~141793623', 'https://www.coursera.org/instructor/~139312072', 'https://www.coursera.org/instructor/~141793623']"
517,,Università Bocconi,https://www.coursera.org/partners/bocconi,4.6,79,course,"['Regression Analysis', 'Decision Making', 'Statistical Methods', 'Probability', 'Innovation', 'Data Analysis', 'Strategic Decision-Making', 'A/B Testing', 'Big Data', 'Machine Learning', 'Statistical Analysis', 'Business Metrics', 'Data-Driven Decision-Making']","['Alfonso Gambardella', 'Arnaldo Camuffo', 'Chiara Spina']","['https://www.coursera.org/instructor/alfonsogambardella', 'https://www.coursera.org/instructor/~39035364', 'https://www.coursera.org/instructor/chiaraspina', 'https://www.coursera.org/instructor/alfonsogambardella', 'https://www.coursera.org/instructor/~39035364', 'https://www.coursera.org/instructor/chiaraspina']"
70,Beginner level,Universidad de Palermo,https://www.coursera.org/partners/palermo,4.7,287,course,"['Supply And Demand', 'Policy Analysis', 'Market Trend', 'Business', 'Business Economics', 'Market Dynamics', 'Economics', 'Consumer Behaviour', 'Economic Development', 'Market Analysis', 'Decision Making', 'International Finance', 'Public Policies']",['Lucas Pussetto'],['https://www.coursera.org/instructor/~82922685']
